ZIP Code,% Within City,Consumption,Month,Year
30303,1.0000000000002018,789.1,Jan,2013
30305,1.0000000000000955,1839.4,Jan,2013
30306,0.73382073673994308,781270.7,Jan,2013
30307,0.63471897963204738,519608.4,Jan,2013
30308,0.99999999999972766,179536.8,Jan,2013
30309,1.0000000000029903,204583.3,Jan,2013
30310,0.99981447315587935,335395.2,Jan,2013
30311,0.98968586472132614,548751.9,Jan,2013
30312,1.0000000000001916,215718.1,Jan,2013
30313,0.99999999999862021,121231,Jan,2013
30314,0.99999999999993427,147603.5,Jan,2013
30315,0.9538606552735116,167158.8,Jan,2013
30316,0.28779358110687492,128761.3,Jan,2013
30317,0.85062336970878982,331201.9,Jan,2013
30318,0.99893940528767255,313852.5,Jan,2013
30319,0.1115094949667999,75447.1,Jan,2013
30324,0.75789451844754385,257610,Jan,2013
30326,1.0000000000002311,69097.9,Jan,2013
30327,0.62064230944238463,28891.2,Jan,2013
30331,0.53041280423651627,267836.7,Jan,2013
30336,6.8981224960983828E-2,351244.2,Jan,2013
30342,0.45857640577676001,881299.6,Jan,2013
30354,0.59036960501484137,227877,Jan,2013
30363,1.0000000175134447,110521.2,Jan,2013
30303,1.0000000000002018,687.5,Feb,2013
30305,1.0000000000000955,2193.3,Feb,2013
30306,0.73382073673994308,911920,Feb,2013
30307,0.63471897963204738,519743.3,Feb,2013
30308,0.99999999999972766,207689.7,Feb,2013
30309,1.0000000000029903,211300.5,Feb,2013
30310,0.99981447315587935,383036.5,Feb,2013
30311,0.98968586472132614,629513.6,Feb,2013
30312,1.0000000000001916,213249.6,Feb,2013
30313,0.99999999999862021,116511.6,Feb,2013
30314,0.99999999999993427,157810.9,Feb,2013
30315,0.9538606552735116,191373.7,Feb,2013
30316,0.28779358110687492,161734.3,Feb,2013
30317,0.85062336970878982,306484.7,Feb,2013
30318,0.99893940528767255,288413.6,Feb,2013
30319,0.1115094949667999,69489.4,Feb,2013
30324,0.75789451844754385,256513.4,Feb,2013
30326,1.0000000000002311,71636.2,Feb,2013
30327,0.62064230944238463,33546.3,Feb,2013
30331,0.53041280423651627,291559.9,Feb,2013
30336,6.8981224960983828E-2,322694,Feb,2013
30342,0.45857640577676001,916760.3,Feb,2013
30354,0.59036960501484137,200732.1,Feb,2013
30363,1.0000000175134447,127585,Feb,2013
30303,1.0000000000002018,774.7,Mar,2013
30305,1.0000000000000955,1763.1,Mar,2013
30306,0.73382073673994308,852657.1,Mar,2013
30307,0.63471897963204738,507434,Mar,2013
30308,0.99999999999972766,180475.5,Mar,2013
30309,1.0000000000029903,203548.4,Mar,2013
30310,0.99981447315587935,346723,Mar,2013
30311,0.98968586472132614,559813,Mar,2013
30312,1.0000000000001916,259187.9,Mar,2013
30313,0.99999999999862021,149373.5,Mar,2013
30314,0.99999999999993427,155056,Mar,2013
30315,0.9538606552735116,206479.2,Mar,2013
30316,0.28779358110687492,164530.7,Mar,2013
