ZIP Code,% Within City,2013 Total,Total Within Zip Code
30303,1.0000000000002018,369058,369058.0000000745
30305,1.0000000000000955,1480516,1480516.0000001413
30306,0.73382073673994308,7132224,5233773.8702743035
30307,0.63471897963204738,297671,188937.43338605118
30308,0.99999999999972766,1246099,1246098.9999996605
30309,1.0000000000029903,2823413,2823413.000008443
30310,0.99981447315587935,1925397,1925039.7871709107
30311,0.98968586472132614,875893,866858.9211083566
30312,1.0000000000001916,1509622,1509622.0000002892
30313,0.99999999999862021,2861826,2861825.999996051
30314,0.99999999999993427,3177265,3177264.9999997914
30315,0.9538606552735116,9205203,8780480.965505695
30316,0.28779358110687492,6634105,1909252.8353890243
30317,0.85062336970878982,9401044,7996747.7260606
30318,0.99893940528767255,3195314,3191925.0668673743
30319,0.1115094949667999,4010805,447242.8399603159
30324,0.75789451844754385,366894,278066.95145129313
30326,1.0000000000002311,6056478,6056478.0000014
30327,0.62064230944238463,1206324,748695.7132957752
30331,0.53041280423651627,767158,406910.42607247736
30336,6.8981224960983828E-2,1415007,97608.91618836684
