ZIP Code,% Within City,Consumption,Month,Year
30303,1.0000000000002018,43937,Jan,2013
30305,1.0000000000000955,152310,Jan,2013
30306,0.73382073673994308,901407,Jan,2013
30307,0.63471897963204738,37064,Jan,2013
30308,0.99999999999972766,131003,Jan,2013
30309,1.0000000000029903,283257,Jan,2013
30310,0.99981447315587935,209386,Jan,2013
30311,0.98968586472132614,62061,Jan,2013
30312,1.0000000000001916,261259,Jan,2013
30313,0.99999999999862021,337192,Jan,2013
30314,0.99999999999993427,226733,Jan,2013
30315,0.9538606552735116,884709,Jan,2013
30316,0.28779358110687492,877042,Jan,2013
30317,0.85062336970878982,992402,Jan,2013
30318,0.99893940528767255,284241,Jan,2013
30319,0.1115094949667999,493764,Jan,2013
30324,0.75789451844754385,65903,Jan,2013
30326,1.0000000000002311,605374,Jan,2013
30327,0.62064230944238463,126811,Jan,2013
30331,0.53041280423651627,95019,Jan,2013
30336,6.8981224960983828E-2,138922,Jan,2013
30303,1.0000000000002018,44666,Feb,2013
30305,1.0000000000000955,140809,Feb,2013
30306,0.73382073673994308,874574,Feb,2013
30307,0.63471897963204738,38039,Feb,2013
30308,0.99999999999972766,123319,Feb,2013
30309,1.0000000000029903,256637,Feb,2013
30310,0.99981447315587935,178568,Feb,2013
30311,0.98968586472132614,85165,Feb,2013
30312,1.0000000000001916,239629,Feb,2013
30313,0.99999999999862021,326569,Feb,2013
30314,0.99999999999993427,229866,Feb,2013
30315,0.9538606552735116,845991,Feb,2013
30316,0.28779358110687492,887025,Feb,2013
30317,0.85062336970878982,957676,Feb,2013
30318,0.99893940528767255,381807,Feb,2013
30319,0.1115094949667999,473560,Feb,2013
30324,0.75789451844754385,73182,Feb,2013
30326,1.0000000000002311,549913,Feb,2013
30327,0.62064230944238463,113454,Feb,2013
30331,0.53041280423651627,89126,Feb,2013
30336,6.8981224960983828E-2,147175,Feb,2013
30303,1.0000000000002018,43967,Mar,2013
30305,1.0000000000000955,134229,Mar,2013
30306,0.73382073673994308,902997,Mar,2013
30307,0.63471897963204738,36014,Mar,2013
30308,0.99999999999972766,125837,Mar,2013
30309,1.0000000000029903,283289,Mar,2013
30310,0.99981447315587935,147482,Mar,2013
30311,0.98968586472132614,84190,Mar,2013
30312,1.0000000000001916,230713,Mar,2013
30313,0.99999999999862021,317533,Mar,2013
30314,0.99999999999993427,265564,Mar,2013
30315,0.9538606552735116,883878,Mar,2013
30316,0.28779358110687492,883590,Mar,2013
30317,0.85062336970878982,1010317,Mar,2013
30318,0.99893940528767255,376304,Mar,2013
30319,0.1115094949667999,472973,Mar,2013
30324,0.75789451844754385,61321,Mar,2013
30326,1.0000000000002311,569028,Mar,2013
30327,0.62064230944238463,128437,Mar,2013
30331,0.53041280423651627,90915,Mar,2013
30336,6.8981224960983828E-2,146773,Mar,2013
30303,1.0000000000002018,25371,Apr,2013
30305,1.0000000000000955,126547,Apr,2013
30306,0.73382073673994308,521605,Apr,2013
30307,0.63471897963204738,21096,Apr,2013
30308,0.99999999999972766,98274,Apr,2013
30309,1.0000000000029903,232864,Apr,2013
30310,0.99981447315587935,159640,Apr,2013
30311,0.98968586472132614,76608,Apr,2013
30312,1.0000000000001916,106090,Apr,2013
30313,0.99999999999862021,235238,Apr,2013
30314,0.99999999999993427,220958,Apr,2013
30315,0.9538606552735116,723813,Apr,2013
30316,0.28779358110687492,459456,Apr,2013
30317,0.85062336970878982,722734,Apr,2013
30318,0.99893940528767255,249374,Apr,2013
30319,0.1115094949667999,328663,Apr,2013
30324,0.75789451844754385,10010,Apr,2013
30326,1.0000000000002311,531578,Apr,2013
30327,0.62064230944238463,88080,Apr,2013
30331,0.53041280423651627,57463,Apr,2013
30336,6.8981224960983828E-2,130661,Apr,2013
30303,1.0000000000002018,20864,May,2013
30305,1.0000000000000955,122295,May,2013
30306,0.73382073673994308,422899,May,2013
30307,0.63471897963204738,17759,May,2013
30308,0.99999999999972766,89620,May,2013
30309,1.0000000000029903,228943,May,2013
30310,0.99981447315587935,137582,May,2013
30311,0.98968586472132614,71670,May,2013
30312,1.0000000000001916,25806,May,2013
30313,0.99999999999862021,189975,May,2013
30314,0.99999999999993427,283756,May,2013
30315,0.9538606552735116,696084,May,2013
30316,0.28779358110687492,385160,May,2013
30317,0.85062336970878982,685676,May,2013
30318,0.99893940528767255,300579,May,2013
30319,0.1115094949667999,196052,May,2013
30324,0.75789451844754385,4805,May,2013
30326,1.0000000000002311,538077,May,2013
30327,0.62064230944238463,89132,May,2013
30331,0.53041280423651627,44013,May,2013
30336,6.8981224960983828E-2,114391,May,2013
30303,1.0000000000002018,17924,Jun,2013
30305,1.0000000000000955,114019,Jun,2013
30306,0.73382073673994308,341598,Jun,2013
30307,0.63471897963204738,12577,Jun,2013
30308,0.99999999999972766,77488,Jun,2013
30309,1.0000000000029903,193098,Jun,2013
