Area,Total,Percentage of Total,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
2015 Natural Gas Consumption (Million Therms),NA,NA,NA
NA,NA,NA,NA
NA,Total,Percentage of Total,NA
Residential,66.543745987100223,0.40274789662704391,NA
Commercial,38.095172172104974,0.23056637759669599,NA
Industrial,51.595818452736395,0.31227739058481485,NA
MARTA,8.9600000000000009,5.4229305853593812E-2,NA
Airport,2.9579999999999999E-2,1.7902933785148489E-4,NA
Total,165.22431661194159,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
2015 Natural Gas Emissions,NA,NA,NA
NA,NA,NA,NA
NA,2015 Annual Consumption (Therms),Emission Factor      (mTCO2/ Therm)*,Total emissions 2015 (mTCO2e/y)* = Gas consumption (Therms/y) x Emission Factor (mTCO2e/Therm)
Natural Gas (no airport),156234736.61194158,5.3020000000000003E-3,828356.57351651427
Natural Gas MARTA,8960000,5.3020000000000003E-3,47505.920000000006
Natural Gas (airport),29580,5.3020000000000003E-3,156.83316000000002
Total Natural Gas 2015,165224316.61194158,5.3020000000000003E-3,876019.32667651423
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
2015 Natural Gas Emissions by Sector,NA,NA,NA
NA,NA,NA,NA
NA,2015 Annual Consumption (Therms),Emission Factor      (mTCO2/ Therm)*,Total emissions 2015 (mTCO2e/y)* = Gas consumption (Therms/y) x Emission Factor (mTCO2e/Therm)
Residential,66543745.987100221,5.3020000000000003E-3,352814.94122360542
Commercial,38095172.172104977,5.3020000000000003E-3,201980.6028565006
Industrial,51595818.452736393,5.3020000000000003E-3,273561.02943640837
Total Natural Gas 2015 (no airport),156234736.61194158,5.3020000000000003E-3,828356.57351651427
